Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
80,Isaiah Canaan\canaais01,PG,26,PHO,19,1,22.0,2.7,7.2,.382,1.2,3.5,.333,1.6,3.7,.429,.463,2.4,2.7,.902,0.3,2.0,2.3,4.0,0.8,0.1,1.5,1.9,9.1
81,Clint Capela\capelca01,C,23,HOU,52,52,27.2,6.1,9.4,.654,0.0,0.0,.000,6.1,9.4,.655,.654,2.2,3.7,.582,3.2,7.9,11.1,1.0,0.8,1.8,1.5,2.6,14.4
82,DeMarre Carroll\carrode01,SF,31,BRK,54,54,29.8,4.4,10.9,.405,1.9,5.2,.358,2.5,5.6,.449,.491,2.6,3.4,.773,1.6,5.0,6.6,2.0,0.9,0.4,1.5,2.2,13.3
83,Vince Carter\cartevi01,SF,41,SAC,38,4,17.1,1.8,4.7,.385,0.9,2.7,.353,0.9,2.0,.429,.486,0.4,0.6,.696,0.2,1.9,2.2,1.3,0.9,0.5,0.6,1.7,5.0
84,Michael Carter-Williams\cartemi01,PG,26,CHO,45,2,15.9,1.3,4.1,.324,0.3,1.1,.265,1.0,3.0,.346,.359,1.3,1.5,.826,0.7,1.8,2.6,2.2,0.8,0.4,1.0,2.0,4.2
85,Alex Caruso\carusal01,PG,23,LAL,24,0,12.9,1.0,2.5,.417,0.2,0.8,.250,0.8,1.7,.500,.458,0.3,0.5,.583,0.3,1.0,1.3,1.9,0.5,0.3,0.9,1.3,2.6
86,Omri Casspi\casspom01,SF,29,GSW,45,7,14.8,2.4,4.1,.584,0.2,0.4,.500,2.2,3.7,.594,.611,1.0,1.4,.770,0.6,3.4,4.0,1.0,0.4,0.4,0.8,1.4,6.1
87,Willie Cauley-Stein\caulewi01,C,24,SAC,52,39,27.4,5.2,10.3,.498,0.0,0.2,.182,5.1,10.1,.505,.500,2.0,3.3,.608,1.8,5.0,6.7,2.2,1.1,0.9,1.5,2.4,12.3
88,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,1,13.8,1.8,3.9,.474,0.9,2.4,.366,1.0,1.5,.644,.586,0.4,0.6,.765,1.1,2.2,3.3,0.8,0.3,0.1,0.4,1.7,5.0
89,Mario Chalmers\chalmma01,PG,31,MEM,50,7,22.4,2.6,6.9,.375,0.8,2.9,.269,1.8,4.0,.452,.432,1.8,2.1,.846,0.2,2.4,2.6,3.1,1.2,0.2,1.7,2.8,7.7
