Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
156,Bryn Forbes\forbebr01,SG,24,SAS,59,12,20.7,2.9,7.0,.416,1.3,3.3,.376,1.6,3.6,.453,.506,0.5,0.9,.604,0.2,1.4,1.5,1.0,0.4,0.0,0.6,1.6,7.6
157,Evan Fournier\fournev01,SF,25,ORL,49,49,32.3,6.5,14.2,.461,2.2,5.7,.384,4.3,8.4,.513,.539,2.6,3.0,.872,0.4,2.7,3.1,2.9,0.9,0.3,1.8,2.4,17.9
158,De'Aaron Fox\foxde01,PG,20,SAC,50,37,27.2,4.3,10.5,.410,0.6,1.9,.326,3.7,8.6,.428,.439,2.0,2.8,.734,0.5,2.2,2.6,4.3,1.0,0.2,2.4,2.3,11.3
159,Tim Frazier\fraziti01,PG,27,WAS,43,11,15.3,1.3,3.1,.415,0.3,1.0,.333,1.0,2.1,.456,.470,0.3,0.5,.700,0.3,1.6,1.9,3.7,0.9,0.1,1.1,1.7,3.3
160,Channing Frye\fryech01,C,34,TOT,45,1,12.4,1.9,3.8,.500,0.7,2.0,.341,1.2,1.8,.684,.591,0.3,0.3,.933,0.2,2.2,2.5,0.6,0.4,0.3,0.4,1.2,4.8
160,Channing Frye\fryech01,C,34,CLE,44,1,12.4,1.9,3.8,.497,0.7,2.0,.333,1.2,1.8,.684,.586,0.3,0.3,.933,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,4.8
160,Channing Frye\fryech01,C,34,LAL,1,0,11.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
161,Markelle Fultz\fultzma01,SG,19,PHI,4,0,19.0,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,.333,1.5,3.0,.500,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6.0
162,Danilo Gallinari\gallida01,SF,29,LAC,18,18,32.3,5.2,12.6,.412,1.8,5.7,.324,3.3,6.9,.484,.485,3.8,3.9,.972,0.4,4.6,5.0,2.1,0.6,0.3,1.2,1.5,16.0
163,Langston Galloway\gallola01,SG,26,DET,46,2,15.0,2.2,5.8,.383,1.4,3.9,.354,0.9,2.0,.440,.500,0.6,0.7,.794,0.2,1.4,1.6,1.1,0.6,0.1,0.3,0.8,6.4
164,Marc Gasol\gasolma01,C,33,MEM,55,55,33.9,6.1,14.7,.414,1.4,4.3,.326,4.7,10.5,.450,.462,4.1,4.9,.841,1.2,7.2,8.4,4.0,0.7,1.5,2.7,2.5,17.7
165,Pau Gasol\gasolpa01,C,37,SAS,56,53,24.8,3.9,8.5,.462,0.7,1.7,.396,3.3,6.8,.479,.502,2.1,2.7,.781,1.6,6.8,8.4,3.3,0.3,1.0,1.5,1.5,10.7
166,Rudy Gay\gayru01,PF,31,SAS,34,5,22.7,4.3,9.1,.476,0.7,2.0,.333,3.6,7.1,.517,.513,2.1,2.7,.785,1.4,3.8,5.2,1.5,0.8,0.6,1.6,1.8,11.5
167,Paul George\georgpa01,SF,27,OKC,56,56,36.5,7.6,17.0,.448,3.3,7.7,.432,4.3,9.2,.462,.547,4.0,4.9,.804,0.9,4.5,5.4,3.1,2.2,0.5,2.7,2.9,22.5
168,Marcus Georges-Hunt\georgma01,SG,23,MIN,34,0,5.7,0.5,1.2,.390,0.1,0.4,.214,0.4,0.8,.481,.427,0.2,0.5,.500,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.8,1.3
169,Taj Gibson\gibsota01,PF,32,MIN,61,61,33.6,5.3,9.2,.575,0.1,0.5,.226,5.2,8.7,.595,.581,1.7,2.2,.780,2.4,4.8,7.3,1.3,0.8,0.8,1.0,2.6,12.4
170,Manu Ginobili\ginobma01,SG,40,SAS,45,0,20.5,3.3,7.5,.444,1.1,3.2,.340,2.2,4.3,.521,.516,1.6,1.8,.855,0.3,1.8,2.1,2.5,0.6,0.3,1.7,2.0,9.3
171,Rudy Gobert\goberru01,C,25,UTA,32,32,31.0,4.5,7.7,.579,0.0,0.0,,4.5,7.7,.579,.579,3.5,5.2,.685,2.7,7.4,10.1,1.4,0.6,2.3,1.8,2.7,12.5
172,Aaron Gordon\gordoaa01,PF,22,ORL,39,38,34.0,6.7,15.0,.447,2.0,5.8,.346,4.7,9.1,.511,.515,3.0,4.2,.718,1.7,6.6,8.3,2.2,0.9,0.7,1.9,2.0,18.4
173,Eric Gordon\gordoer01,SG,29,HOU,51,24,31.8,6.1,14.6,.418,3.0,9.0,.334,3.1,5.6,.552,.521,3.2,3.9,.819,0.4,1.9,2.3,2.4,0.6,0.4,2.0,1.7,18.5
174,Marcin Gortat\gortama01,C,33,WAS,57,57,26.3,3.7,7.0,.533,0.0,0.0,,3.7,7.0,.533,.533,1.3,2.1,.617,2.3,5.7,8.0,1.9,0.6,0.7,1.2,2.2,8.8
175,Treveon Graham\grahatr01,SG,24,CHO,44,1,17.3,1.7,3.9,.442,0.8,1.7,.446,1.0,2.2,.439,.538,0.7,1.0,.727,0.7,1.5,2.2,1.0,0.5,0.0,0.5,1.7,4.9
176,Jerami Grant\grantje01,PF,23,OKC,58,1,20.7,2.9,5.6,.512,0.3,1.3,.256,2.5,4.2,.593,.543,1.8,2.7,.646,1.1,3.0,4.1,0.8,0.4,0.9,0.7,2.0,7.8
177,Jerian Grant\grantje02,PG,25,CHI,57,26,23.6,2.9,6.7,.427,0.8,2.5,.340,2.0,4.3,.477,.490,1.9,2.5,.750,0.5,2.2,2.7,5.0,0.8,0.1,1.3,1.8,8.5
178,Josh Gray\grayjo01,PG,24,PHO,5,0,17.2,2.2,8.2,.268,0.6,2.6,.231,1.6,5.6,.286,.305,1.4,2.2,.636,0.4,1.6,2.0,2.4,1.6,0.4,1.4,1.6,6.4
179,Danny Green\greenda02,SG,30,SAS,48,48,26.3,3.3,8.0,.404,1.7,4.5,.375,1.6,3.5,.441,.509,0.6,0.7,.771,0.6,3.1,3.6,1.8,1.0,1.1,1.1,1.6,8.8
180,Draymond Green\greendr01,PF,27,GSW,50,50,32.7,4.1,9.1,.446,1.1,3.7,.299,3.0,5.5,.546,.507,2.1,2.7,.772,1.3,6.7,8.0,7.3,1.3,1.5,2.8,2.6,11.4
181,Gerald Green\greenge01,SG,32,HOU,21,0,24.2,4.2,10.4,.408,2.9,7.4,.391,1.3,3.0,.452,.548,1.5,1.9,.821,0.4,2.4,2.8,0.4,0.6,0.4,0.7,2.4,12.9
182,JaMychal Green\greenja01,PF,27,MEM,36,35,26.4,3.9,8.4,.459,0.8,2.3,.333,3.1,6.1,.507,.505,1.4,1.9,.743,2.6,4.9,7.5,1.3,0.6,0.3,1.3,2.6,9.9
183,Jeff Green\greenje02,PF,31,CLE,56,0,22.4,3.7,7.6,.489,0.6,1.8,.320,3.2,5.8,.541,.527,2.7,3.1,.868,0.9,2.5,3.4,1.3,0.5,0.4,0.9,1.9,10.7
184,Blake Griffin\griffbl01,PF,28,TOT,41,41,34.4,7.6,17.5,.434,1.9,5.8,.332,5.7,11.7,.485,.490,5.1,6.4,.791,1.4,6.5,8.0,5.6,0.9,0.3,2.9,2.4,22.2
184,Blake Griffin\griffbl01,PF,28,LAC,33,33,34.5,7.7,17.5,.441,1.9,5.7,.342,5.8,11.8,.488,.497,5.2,6.6,.785,1.4,6.5,7.9,5.4,0.9,0.3,3.0,2.4,22.6
184,Blake Griffin\griffbl01,PF,28,DET,8,8,34.0,7.0,17.3,.406,1.9,6.4,.294,5.1,10.9,.471,.460,4.5,5.5,.818,1.6,6.4,8.0,6.1,0.6,0.5,2.6,2.8,20.4
185,Daniel Hamilton\hamilda02,SG,22,OKC,4,0,6.3,1.3,2.8,.455,0.5,1.3,.400,0.8,1.5,.500,.545,0.0,0.0,,0.0,1.3,1.3,1.8,0.3,0.0,0.5,0.0,3.0
186,Tim Hardaway\hardati02,SG,25,NYK,37,34,32.6,6.0,14.6,.410,2.2,7.1,.317,3.8,7.5,.498,.487,2.5,3.2,.780,0.6,3.4,4.1,2.8,1.2,0.2,1.6,2.1,16.7
187,James Harden\hardeja01,SG,28,HOU,50,50,35.8,9.3,20.8,.448,4.1,10.7,.384,5.2,10.0,.516,.547,8.6,9.9,.865,0.5,4.6,5.1,9.0,1.8,0.7,4.2,2.4,31.3
188,Maurice Harkless\harklma01,SF,24,POR,47,24,20.6,2.2,4.7,.462,0.7,1.8,.365,1.5,2.9,.522,.531,0.5,0.8,.676,0.7,2.0,2.7,0.7,0.7,0.7,0.8,1.7,5.6
189,Montrezl Harrell\harremo01,C,24,LAC,50,3,15.4,3.8,6.1,.616,0.0,0.0,.000,3.8,6.1,.620,.616,1.6,2.5,.630,1.3,2.6,3.9,0.7,0.5,0.7,0.8,1.7,9.1
190,Devin Harris\harride01,PG,34,TOT,47,1,18.5,2.6,6.4,.412,1.0,2.9,.350,1.6,3.5,.463,.492,2.1,2.5,.839,0.2,1.7,1.9,2.0,0.8,0.2,1.1,2.3,8.4
190,Devin Harris\harride01,PG,34,DAL,44,1,18.3,2.7,6.5,.415,1.0,2.8,.352,1.7,3.6,.465,.493,2.1,2.5,.830,0.2,1.7,1.9,1.9,0.8,0.2,1.1,2.3,8.5
190,Devin Harris\harride01,PG,34,DEN,3,0,20.3,2.0,5.7,.353,1.3,4.0,.333,0.7,1.7,.400,.471,2.0,2.0,1.000,0.0,1.3,1.3,2.7,1.0,0.0,1.0,2.3,7.3
191,Gary Harris\harriga01,SG,23,DEN,54,54,34.9,6.6,13.6,.484,2.4,6.0,.398,4.2,7.6,.551,.572,2.0,2.4,.829,0.6,2.1,2.7,3.1,1.8,0.2,1.9,1.8,17.5
192,Joe Harris\harrijo01,SG,26,BRK,57,9,25.2,3.8,8.1,.473,1.9,4.7,.398,1.9,3.4,.575,.588,1.0,1.2,.800,0.6,2.7,3.4,1.5,0.5,0.2,1.0,1.9,10.5
193,Tobias Harris\harrito02,PF,25,TOT,54,54,32.9,6.7,14.9,.450,2.3,5.7,.402,4.4,9.3,.480,.527,2.3,2.7,.824,0.8,4.5,5.3,2.0,0.8,0.3,1.1,1.9,18.0
193,Tobias Harris\harrito02,PF,25,DET,48,48,32.6,6.7,14.8,.451,2.4,5.8,.409,4.3,9.0,.478,.531,2.4,2.8,.846,0.8,4.3,5.1,2.0,0.7,0.3,1.1,1.9,18.1
193,Tobias Harris\harrito02,PF,25,LAC,6,6,35.2,7.2,16.2,.443,1.7,5.0,.333,5.5,11.2,.493,.495,1.2,2.0,.583,1.2,5.7,6.8,2.7,1.5,0.3,1.3,1.8,17.2
194,Andrew Harrison\harrian01,PG,23,MEM,48,38,22.5,3.0,7.0,.424,0.8,2.3,.357,2.1,4.6,.457,.484,2.0,2.5,.815,0.4,1.8,2.2,2.8,0.7,0.5,1.5,2.5,8.8
195,Josh Hart\hartjo01,SG,22,LAL,52,17,21.0,2.3,4.8,.468,1.0,2.6,.397,1.2,2.2,.552,.575,0.7,1.1,.655,0.5,3.1,3.6,1.1,0.7,0.2,0.6,1.6,6.3
196,Udonis Haslem\hasleud01,C,37,MIA,8,0,5.6,0.3,0.6,.400,0.1,0.4,.333,0.1,0.3,.500,.500,0.0,0.0,,0.3,0.4,0.6,0.4,0.0,0.1,0.3,0.3,0.6
197,Nigel Hayes\hayesni01,SF,23,LAL,2,0,5.5,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,.333,0.5,0.5,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
198,Gordon Hayward\haywago01,SF,27,BOS,1,1,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
199,Reggie Hearn\hearnre01,SG,26,DET,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200,Myke Henry\henrymy01,SF,25,MEM,8,0,18.8,1.9,4.9,.385,1.3,3.3,.385,0.6,1.6,.385,.513,0.5,0.9,.571,0.3,1.4,1.6,1.0,1.1,0.5,0.8,1.0,5.5
201,John Henson\hensojo01,C,27,MIL,52,45,25.3,3.8,6.4,.587,0.0,0.1,.000,3.8,6.3,.594,.587,1.4,2.3,.597,2.0,4.9,6.9,1.4,0.5,1.4,1.2,2.8,8.9
202,Juan Hernangomez\hernaju01,PF,22,DEN,21,3,11.1,1.1,2.9,.383,0.5,1.9,.282,0.6,1.0,.571,.475,0.4,0.5,.818,0.8,1.6,2.3,0.4,0.3,0.1,0.3,0.9,3.1
203,Willy Hernangomez\hernawi01,C,23,NYK,26,0,9.0,1.9,3.1,.605,0.0,0.2,.200,1.8,2.9,.632,.611,0.5,1.1,.429,0.8,1.7,2.6,0.8,0.3,0.3,1.0,1.2,4.3
204,Mario Hezonja\hezonma01,SF,22,ORL,50,16,19.7,3.4,7.2,.469,1.1,3.1,.350,2.3,4.1,.562,.546,0.9,1.1,.804,0.6,2.9,3.5,1.1,0.9,0.3,1.0,1.8,8.8
205,Isaiah Hicks\hicksis01,PF,23,NYK,2,0,12.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.5,1.0,.500,0.0,0.5,0.5,0.5,0.0,0.0,0.5,2.5,3.5
206,Buddy Hield\hieldbu01,SG,24,SAC,55,11,23.7,4.8,10.9,.437,2.1,4.9,.425,2.7,6.0,.447,.533,0.9,1.0,.873,0.5,2.9,3.4,1.5,0.9,0.2,1.4,1.7,12.5
207,Nene Hilario\hilarne01,C,35,HOU,39,3,14.9,2.8,4.8,.597,0.0,0.1,.000,2.8,4.7,.603,.597,1.3,2.0,.649,0.9,2.4,3.3,1.0,0.5,0.2,0.8,2.5,7.0
208,George Hill\hillge01,PG,31,TOT,45,38,26.4,3.5,7.6,.466,1.4,3.0,.449,2.2,4.6,.478,.556,1.8,2.3,.786,0.5,2.2,2.7,2.8,0.9,0.3,1.4,1.8,10.2
208,George Hill\hillge01,PG,31,SAC,43,36,26.6,3.6,7.6,.469,1.3,3.0,.453,2.2,4.6,.480,.558,1.8,2.3,.778,0.5,2.2,2.7,2.8,0.9,0.3,1.4,1.7,10.3
208,George Hill\hillge01,PG,31,CLE,2,2,22.5,3.0,7.5,.400,1.5,4.0,.375,1.5,3.5,.429,.500,2.0,2.0,1.000,0.5,1.5,2.0,2.5,0.5,0.0,1.5,3.0,9.5
209,Darrun Hilliard\hillida01,SG,24,SAS,14,0,6.8,0.4,1.4,.263,0.0,0.4,.000,0.4,0.9,.385,.263,0.4,0.5,.857,0.0,0.5,0.5,0.8,0.1,0.0,0.3,0.5,1.1
210,Jrue Holiday\holidjr01,SG,27,NOP,57,57,36.7,7.3,15.0,.488,1.5,4.8,.325,5.8,10.3,.564,.540,2.4,3.1,.787,0.6,3.7,4.3,5.5,1.5,0.7,2.5,2.3,18.6
211,Justin Holiday\holidju01,SG,28,CHI,56,56,34.1,4.3,11.4,.379,2.4,6.5,.374,1.9,4.9,.387,.486,2.1,2.6,.819,0.5,4.0,4.5,2.3,1.1,0.5,1.3,1.9,13.2
212,John Holland\hollajo02,SF,29,CLE,6,0,5.8,0.3,1.5,.222,0.3,1.2,.286,0.0,0.3,.000,.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.2,0.3,1.0
213,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,46,45,28.3,5.2,11.0,.472,0.3,0.9,.279,4.9,10.1,.490,.484,3.7,4.7,.794,1.5,5.0,6.5,2.3,0.8,0.7,1.7,2.1,14.3
214,Richaun Holmes\holmeri01,C,24,PHI,28,2,15.4,2.7,5.1,.528,0.1,0.9,.125,2.6,4.3,.608,.538,0.8,1.1,.677,1.3,3.3,4.6,1.1,0.4,0.5,0.6,2.3,6.3
215,Rodney Hood\hoodro01,SG,25,TOT,41,12,27.5,6.0,14.0,.428,2.7,6.7,.395,3.3,7.2,.458,.523,2.1,2.4,.876,0.3,2.5,2.8,1.6,0.8,0.2,1.6,1.7,16.7
215,Rodney Hood\hoodro01,SG,25,UTA,39,12,27.8,6.0,14.2,.424,2.6,6.7,.389,3.4,7.4,.455,.516,2.2,2.5,.876,0.4,2.5,2.8,1.7,0.8,0.2,1.6,1.6,16.8
215,Rodney Hood\hoodro01,SG,25,CLE,2,0,21.5,5.5,10.5,.524,3.5,7.0,.500,2.0,3.5,.571,.690,0.0,0.0,,0.0,2.5,2.5,0.0,1.5,0.5,0.5,2.5,14.5
216,Al Horford\horfoal01,C,31,BOS,54,54,32.2,5.4,10.5,.508,1.4,3.3,.436,3.9,7.2,.541,.576,1.1,1.5,.735,1.4,6.3,7.7,5.1,0.6,1.2,2.0,2.0,13.3
217,Danuel House\houseda01,SG,24,PHO,16,0,12.1,1.6,4.2,.373,0.5,1.9,.258,1.1,2.3,.472,.433,1.0,1.2,.842,0.6,1.8,2.3,0.5,0.3,0.1,0.3,0.9,4.6
218,Dwight Howard\howardw01,C,32,CHO,57,57,31.0,5.9,10.9,.541,0.0,0.1,.000,5.9,10.8,.545,.541,4.0,7.2,.553,3.3,9.3,12.6,1.4,0.7,1.6,2.8,3.2,15.8
219,Josh Huestis\huestjo01,PF,26,OKC,53,3,14.5,0.8,2.6,.331,0.4,1.6,.267,0.4,0.9,.440,.415,0.1,0.3,.235,0.6,1.7,2.3,0.3,0.3,0.7,0.4,1.4,2.2
220,R.J. Hunter\hunterj01,SG,24,HOU,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
221,Vince Hunter\huntevi01,PF,23,MEM,4,0,1.8,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.3,0.3,0.0,1.5
222,Serge Ibaka\ibakase01,PF,28,TOR,52,52,27.8,5.2,10.4,.496,1.3,3.8,.354,3.8,6.6,.579,.561,1.2,1.5,.788,0.9,5.3,6.2,0.8,0.3,1.3,1.2,2.8,12.9
223,Andre Iguodala\iguodan01,SF,34,GSW,49,4,25.5,2.1,4.8,.436,0.4,1.7,.229,1.7,3.1,.550,.476,0.9,1.4,.632,0.8,2.9,3.8,3.3,0.8,0.6,1.0,1.5,5.4
224,Ersan Ilyasova\ilyaser01,PF,30,ATL,46,40,25.5,4.0,8.7,.459,1.3,3.7,.359,2.7,5.0,.532,.535,1.6,2.0,.800,1.6,3.8,5.5,1.1,1.0,0.4,0.9,2.0,10.9
225,Joe Ingles\inglejo01,SF,30,UTA,58,57,30.7,3.9,8.4,.466,2.5,5.6,.453,1.4,2.8,.491,.616,0.5,0.6,.838,0.3,3.8,4.1,4.1,1.1,0.2,1.8,2.1,10.8
226,Brandon Ingram\ingrabr01,SF,20,LAL,53,53,33.8,6.0,13.1,.462,0.7,1.7,.380,5.4,11.3,.474,.487,3.4,5.0,.683,1.0,4.2,5.2,3.7,0.8,0.7,2.5,2.8,16.2
227,Kyrie Irving\irvinky01,PG,25,BOS,53,53,32.8,9.0,18.5,.486,2.7,6.7,.397,6.3,11.8,.536,.558,4.1,4.6,.888,0.5,3.0,3.6,5.0,1.1,0.3,2.3,2.1,24.7
228,Jonathan Isaac\isaacjo01,PF,20,ORL,15,2,19.0,2.0,4.9,.405,0.3,1.2,.278,1.7,3.7,.446,.439,0.9,1.2,.778,0.8,2.9,3.7,0.7,0.7,1.0,1.0,1.7,5.3
229,Wesley Iwundu\iwundwe01,SF,23,ORL,39,3,14.5,1.4,3.1,.450,0.2,0.6,.240,1.2,2.4,.505,.475,0.5,0.7,.741,0.5,1.7,2.2,0.9,0.4,0.2,0.4,1.1,3.4
230,Jarrett Jack\jackja01,PG,34,NYK,57,56,25.9,3.1,7.3,.424,0.4,1.4,.296,2.7,5.9,.455,.453,1.0,1.2,.829,0.4,2.8,3.1,5.8,0.6,0.1,1.9,1.7,7.6
231,Demetrius Jackson\jacksde01,PG,23,HOU,12,0,5.3,0.3,1.2,.286,0.0,0.5,.000,0.3,0.7,.500,.286,0.0,0.0,,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
232,Josh Jackson\jacksjo02,SF,20,PHO,57,23,23.5,4.3,10.7,.406,0.8,2.8,.267,3.6,7.8,.456,.442,1.8,3.0,.604,1.1,3.0,4.1,1.2,0.8,0.4,1.7,2.8,11.2
233,Justin Jackson\jacksju01,SF,22,SAC,43,16,19.5,2.5,5.7,.433,0.7,2.4,.305,1.7,3.3,.528,.498,0.3,0.5,.652,0.4,2.0,2.4,0.9,0.4,0.2,0.6,1.0,6.1
234,Reggie Jackson\jacksre01,PG,27,DET,33,33,27.1,5.5,12.3,.446,1.3,3.8,.339,4.2,8.5,.493,.498,2.4,2.8,.840,0.7,2.2,2.8,5.5,0.6,0.1,2.5,2.1,14.6
235,LeBron James\jamesle01,PF,33,CLE,56,56,37.0,10.2,18.7,.544,1.8,4.8,.362,8.4,13.8,.608,.591,4.5,6.1,.737,1.1,7.0,8.1,8.9,1.5,1.0,4.4,1.6,26.5
236,Mike James\jamesmi02,PG,27,TOT,36,10,19.1,3.4,8.9,.383,0.7,2.7,.265,2.7,6.2,.435,.424,1.8,2.3,.762,0.4,2.1,2.5,3.5,0.8,0.2,1.4,1.3,9.3
236,Mike James\jamesmi02,PG,27,PHO,32,10,20.9,3.8,9.8,.388,0.8,3.0,.268,3.0,6.7,.442,.429,2.0,2.6,.762,0.4,2.4,2.8,3.8,0.8,0.2,1.5,1.4,10.4
236,Mike James\jamesmi02,PG,27,NOP,4,0,4.5,0.5,2.3,.222,0.0,0.3,.000,0.5,2.0,.250,.222,0.0,0.0,,0.3,0.0,0.3,1.5,0.3,0.0,0.3,0.8,1.0
237,Al Jefferson\jeffeal01,C,33,IND,29,0,13.4,3.1,5.6,.553,0.0,0.0,.000,3.1,5.5,.556,.553,0.6,0.8,.783,0.7,3.0,3.8,0.9,0.4,0.6,0.6,1.8,6.8
238,Richard Jefferson\jefferi01,SF,37,DEN,16,0,8.6,0.6,1.5,.417,0.1,0.4,.286,0.5,1.1,.471,.458,0.3,0.4,.571,0.1,0.8,0.9,0.6,0.1,0.1,0.3,0.6,1.6
239,Jonas Jerebko\jerebjo01,PF,30,UTA,50,17,16.1,2.2,4.7,.462,0.9,2.0,.430,1.3,2.7,.485,.553,0.7,0.8,.825,0.8,2.4,3.2,0.7,0.4,0.2,0.4,2.0,5.8
240,Amir Johnson\johnsam01,C,30,PHI,52,10,15.6,1.9,3.5,.550,0.1,0.3,.278,1.8,3.1,.580,.564,0.7,1.2,.597,1.7,2.7,4.4,1.4,0.7,0.6,0.8,2.7,4.6
241,Brice Johnson\johnsbr02,PF,23,LAC,9,0,4.2,0.8,1.2,.636,0.0,0.1,.000,0.8,1.1,.700,.636,0.2,0.2,1.000,0.2,1.2,1.4,0.1,0.7,0.2,0.4,0.8,1.8
242,Dakari Johnson\johnsda04,C,22,OKC,26,5,5.8,0.8,1.5,.553,0.0,0.0,,0.8,1.5,.553,.553,0.4,0.7,.556,0.6,0.7,1.2,0.3,0.2,0.3,0.1,1.0,2.0
243,James Johnson\johnsja01,PF,30,MIA,50,22,26.6,4.1,8.4,.486,0.8,2.7,.309,3.2,5.7,.570,.536,1.5,2.1,.695,0.8,4.0,4.9,3.9,0.9,0.6,2.1,2.7,10.5
244,Joe Johnson\johnsjo02,SF,36,TOT,33,3,22.2,2.9,7.1,.413,0.7,2.7,.270,2.2,4.4,.500,.464,0.7,0.8,.857,0.4,3.0,3.3,1.4,0.4,0.2,1.0,1.0,7.3
244,Joe Johnson\johnsjo02,SF,36,UTA,32,3,21.9,3.0,7.1,.420,0.7,2.6,.274,2.3,4.4,.507,.471,0.6,0.8,.833,0.4,3.0,3.3,1.4,0.4,0.2,1.0,1.0,7.3
244,Joe Johnson\johnsjo02,SF,36,HOU,1,0,31.0,2.0,9.0,.222,1.0,5.0,.200,1.0,4.0,.250,.278,4.0,4.0,1.000,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,9.0
245,Stanley Johnson\johnsst04,SF,21,DET,46,33,28.0,3.0,7.9,.378,1.0,3.5,.292,2.0,4.4,.446,.442,1.7,2.1,.792,0.5,3.2,3.7,1.6,1.2,0.2,1.0,2.5,8.7
246,Tyler Johnson\johnsty01,PG,25,MIA,50,19,29.3,4.1,9.9,.417,1.6,4.7,.352,2.5,5.2,.475,.500,1.6,2.0,.827,0.5,3.1,3.6,2.3,0.9,0.5,1.2,2.3,11.5
247,Wesley Johnson\johnswe01,SF,30,LAC,51,28,23.2,2.4,5.9,.415,0.9,2.8,.329,1.5,3.1,.494,.493,0.7,1.0,.725,0.4,3.2,3.6,1.0,1.2,1.1,0.9,2.3,6.5
248,Nikola Jokic\jokicni01,C,22,DEN,51,49,31.5,6.2,12.7,.485,1.3,3.6,.363,4.9,9.1,.532,.535,3.3,3.9,.850,2.7,7.9,10.6,5.9,1.2,0.8,2.7,2.7,16.9
249,Damian Jones\jonesda03,C,22,GSW,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.3,0.3,1.3,0.0
250,Derrick Jones\jonesde02,SF,20,TOT,16,8,14.1,1.1,2.8,.386,0.1,0.9,.133,0.9,1.8,.517,.409,0.8,1.3,.650,1.1,0.9,1.9,0.5,0.3,0.8,0.4,1.4,3.1
250,Derrick Jones\jonesde02,SF,20,PHO,6,0,5.5,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.8,1.0,.833,0.3,0.3,0.7,0.5,0.2,0.7,0.2,0.3,1.5
250,Derrick Jones\jonesde02,SF,20,MIA,10,8,19.3,1.5,4.0,.375,0.2,1.3,.154,1.3,2.7,.481,.400,0.8,1.4,.571,1.5,1.2,2.7,0.5,0.3,0.9,0.5,2.0,4.0
251,Jalen Jones\jonesja04,SF,24,TOT,9,0,5.8,0.6,1.4,.385,0.2,0.4,.500,0.3,1.0,.333,.462,0.4,0.6,.800,0.1,1.4,1.6,0.1,0.1,0.0,0.2,0.7,1.8
251,Jalen Jones\jonesja04,SF,24,NOP,4,0,4.8,0.3,1.0,.250,0.3,0.3,1.000,0.0,0.8,.000,.375,0.5,0.5,1.000,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.5,1.3
251,Jalen Jones\jonesja04,SF,24,DAL,5,0,6.6,0.8,1.8,.444,0.2,0.6,.333,0.6,1.2,.500,.500,0.4,0.6,.667,0.2,2.0,2.2,0.2,0.2,0.0,0.4,0.8,2.2
252,Tyus Jones\jonesty01,PG,21,MIN,61,10,18.1,1.8,4.0,.459,0.5,1.5,.356,1.3,2.5,.520,.525,0.8,0.9,.887,0.2,1.5,1.8,2.7,1.2,0.0,0.7,1.3,4.9
253,DeAndre Jordan\jordade01,C,29,LAC,51,51,32.2,4.8,7.4,.652,0.0,0.0,,4.8,7.4,.652,.652,2.1,3.5,.594,4.3,10.7,15.0,1.4,0.5,1.0,1.8,2.9,11.8
254,Cory Joseph\josepco01,PG,26,IND,58,5,26.2,3.0,7.0,.427,0.8,2.3,.361,2.2,4.7,.460,.486,0.9,1.2,.739,0.4,2.6,3.0,3.2,0.9,0.2,1.0,1.6,7.7
255,Frank Kaminsky\kaminfr01,PF,24,CHO,54,4,23.1,3.8,9.2,.412,1.2,3.6,.335,2.6,5.6,.461,.477,1.7,2.2,.773,0.6,3.0,3.6,1.6,0.5,0.3,0.8,1.2,10.5
